APP_id,Rank,Title,Catogory,Total Rating,Installs,Average Rating,Growth(30 days),Growth(60 days),Price,URL
app00001,1,"Canva: Graphic Design, Video Collage, Logo Maker",Art & Design,"2,957,512",50.0 M,4.66,6.80%,15.30%,Free,/application/canva_graphic_design_video_collage_logo_maker/com.canva.editor
app00002,2,ibis Paint X,Art & Design,"889,961",50.0 M,4.6,9.90%,19.30%,Free,/application/ibis_paint_x/jp.ne.ibis.ibispaintx.app
app00003,3,Kappboom - Cool Wallpapers & Background Wallpapers,Art & Design,"398,935",10.0 M,4.63,0.10%,0.10%,Free,/application/kappboom_cool_wallpapers_background_wallpapers/com.appsilicious.wallpapers
app00004,4,FlipaClip: Cartoon animation,Art & Design,"360,302",10.0 M,4.26,3.00%,6.30%,Free,/application/flipaclip_cartoon_animation/com.vblast.flipaclip
app00005,5,"U Launcher Lite-New 3D Launcher 2020, Hide apps",Art & Design,"233,254",10.0 M,4.47,2.10%,4.20%,Free,/application/u_launcher_lite_new_3d_launcher_2020_hide_apps/com.phone.launcher.lite
app00006,6,MediBang Paint - Make Art !,Art & Design,"211,154",10.0 M,4.06,1.90%,4.30%,Free,/application/medibang_paint_make_art_/com.medibang.android.paint.tablet
app00007,7,"U Launcher 3D: New Launcher 2020, 3d themes",Art & Design,"136,959",5.0 M,4.46,1.10%,2.30%,Free,/application/u_launcher_3d_new_launcher_2020_3d_themes/com.phone.launcher.android
app00008,8,PaperColor,Art & Design,"124,683",10.0 M,4.09,2.60%,5.90%,Free,/application/papercolor/com.eyewind.paperone
app00009,9,Sand Draw Sketch Drawing Pad: Creative Doodle Art,Art & Design,"101,930",5.0 M,4.33,0.60%,1.20%,Free,/application/sand_draw_sketch_drawing_pad_creative_doodle_art/air.com.KalromSystems.SandDrawLite
app00010,10,How to Draw Graffitis,Art & Design,"95,022",5.0 M,4.29,0.10%,0.30%,Free,/application/how_to_draw_graffitis/com.sweefitstudios.drawgraffiti
app00011,11,Photo Sketch : Photo Editor,Art & Design,"93,745",10.0 M,3.96,0.20%,0.30%,Free,/application/photo_sketch_photo_editor/com.sweetsugar.pencileffectfree
app00012,12,"Behance: Photography, Graphic Design, Illustration",Art & Design,"93,689",1.0 M,4.71,2.90%,6.40%,Free,/application/behance_photography_graphic_design_illustration/com.behance.behance
app00013,13,Photo Cartoon Editor & Effects : Cartoon Yourself,Art & Design,"93,211",5.0 M,2.49,0.60%,1.00%,Free,/application/photo_cartoon_editor_effects_cartoon_yourself/uk.photoscar.toon.editor
app00014,14,Poster Maker Flyer Maker 2020 free Ads Page Design,Art & Design,"85,479",5.0 M,4.52,7.20%,22.00%,Free,/application/poster_maker_flyer_maker_2020_free_ads_page_design/splendid.postermaker.designer
app00015,15,TextArt ★ Cool Text creator,Art & Design,"74,300",10.0 M,4.26,0.50%,1.00%,Free,/application/textart_cool_text_creator/com.jdpapps.textt1
app00016,16,Pixel Painter,Art & Design,"72,649",1.0 M,3.63,0.50%,1.30%,Free,/application/pixel_painter/com.DioAliasGames.MinePixelPainter
app00017,17,iLauncher for OS 13 - Stylish Theme and Wallpaper,Art & Design,"72,520",1.0 M,4.69,6.30%,13.80%,Free,/application/ilauncher_for_os_13_stylish_theme_and_wallpaper/com.webgenie.ioslauncher
app00018,18,Easy Pose - Best Posing App,Art & Design,"71,091",5.0 M,3.83,1.60%,3.30%,Free,/application/easy_pose_best_posing_app/com.madcat.easyposer
app00019,19,Infinite Painter,Art & Design,"67,791",10.0 M,3.86,3.90%,10.30%,Free,/application/infinite_painter/com.brakefield.painter
app00020,20,PENUP - Share your drawings,Art & Design,"65,760",50.0 M,4.66,5.70%,12.60%,Free,/application/penup_share_your_drawings/com.sec.penup
app00021,21,Floor Plan Creator,Art & Design,"65,444",10.0 M,4.02,3.80%,8.20%,Free,/application/floor_plan_creator/pl.planmieszkania.android
app00022,22,Infinite Design,Art & Design,"55,755",5.0 M,3.68,3.40%,8.90%,Free,/application/infinite_design/com.brakefield.idfree
app00023,23,My Name in 3D Live Wallpaper,Art & Design,"52,448",1.0 M,4.57,4.40%,10.20%,Free,/application/my_name_in_3d_live_wallpaper/com.mynamecubeapps.ball
app00024,24,Tattoo Name On My Photo Editor,Art & Design,"49,347",10.0 M,4.12,0.10%,0.30%,Free,/application/tattoo_name_on_my_photo_editor/com.fashion.tattoo.name.my.photo.editor
app00025,25,X Launcher Lite: With OS13 Style Theme & Wallpaper,Art & Design,"47,836",1.0 M,4.5,2.30%,4.80%,Free,/application/x_launcher_lite_with_os13_style_theme_wallpaper/com.ioslauncher.lite
app00026,26,🔥 Anime wallpaper HD | Anime girl wallpaper,Art & Design,"47,831",1.0 M,4.76,8.90%,22.00%,Free,/application/_anime_wallpaper_hd_anime_girl_wallpaper/com.girlywallpaper.animegirl.konosubahd
app00027,27,"X Launcher New: Flat Design, Light, Smooth, Faster",Art & Design,"46,554",1.0 M,4.46,1.10%,2.30%,Free,/application/x_launcher_new_flat_design_light_smooth_faster/com.ioslauncher.newest
app00028,28,Patternator: Video Patterns Backgrounds Wallpapers,Art & Design,"45,802",1.0 M,2.87,0.20%,0.40%,Free,/application/patternator_video_patterns_backgrounds_wallpapers/bazaart.me.patternator
app00029,29,🔥 Anime Wallpaper HD | Anime List Wallpapers,Art & Design,"45,389",1.0 M,4.71,7.10%,18.90%,Free,/application/_anime_wallpaper_hd_anime_list_wallpapers/com.animewallpaper.animelist.konosubawallpaper
app00030,30,Anime - Paint by Numbers,Art & Design,"44,537",1.0 M,4.46,0.20%,0.40%,Free,/application/anime_paint_by_numbers/zonek.design.paintbynumbers
